BBC Radio 1,http://stream.live.vc.bbcmedia.co.uk/bbc_radio_one,bbcmedia.co.uk,UK
BBC Radio 1 Extra,http://stream.live.vc.bbcmedia.co.uk/bbc_1xtra,bbcmedia.co.uk,UK
BBC Radio 2,http://stream.live.vc.bbcmedia.co.uk/bbc_radio_two,bbcmedia.co.uk,UK
BBC Radio 3,http://stream.live.vc.bbcmedia.co.uk/bbc_radio_three,bbcmedia.co.uk,UK
BBC Radio 4 FM,http://stream.live.vc.bbcmedia.co.uk/bbc_radio_fourfm,bbcmedia.co.uk,UK
BBC Radio 4 LW,http://stream.live.vc.bbcmedia.co.uk/bbc_radio_fourlw,bbcmedia.co.uk,UK
BBC Radio 4 Extra,http://stream.live.vc.bbcmedia.co.uk/bbc_radio_four_extra,bbcmedia.co.uk,UK
BBC Radio 5 Live,http://stream.live.vc.bbcmedia.co.uk/bbc_radio_five_live,bbcmedia.co.uk,UK
BBC Radio 5 Sport,http://stream.live.vc.bbcmedia.co.uk/bbc_radio_five_live_sports_extra,bbcmedia.co.uk,UK
BBC Radio 6 Music,http://stream.live.vc.bbcmedia.co.uk/bbc_6music,bbcmedia.co.uk,UK
BBC Asian Network,http://stream.live.vc.bbcmedia.co.uk/bbc_asian_network,bbcmedia.co.uk,UK
Classic FM,http://media-ice.musicradio.com:80/ClassicFMMP3,musicradio.com,UK
Fine Music Radio,https://edge.iono.fm/xice/fmr_live_medium.aac,iono.fm,South Africa
